SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_UNKNOWN_CNT,TRANSITION_UNKNOWN_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20162017,032,ELLIOTT,155,Elliott County,270,Sandy Hook Elementary School,155270,032155270,210168000330,"$8,332",265.34,281,155,55.2%,126,44.8%,280,99.6%,0,0.0%,1,0.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,212,75.4%,5,1.8%,92.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,22.00,3.00,19.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0,0.0%,11.3,33.3%,33.3%,33.3%,0.0%,0.0%,100.0%,0.0%,2.9:1,100%,95,25,5,80,KEDC,903
20162017,032,ELLIOTT,155,Elliott County,,---District Total---,155,,,"$10,764",990.,"1,060",554,52.3%,506,47.7%,"1,042",98.3%,4,0.4%,9,0.8%,3,0.3%,1,0.1%,0,0.0%,1,0.1%,788,74.3%,36,3.4%,93.5%,0.1%,0.2%,N/A,25,39.1%,25,39.1%,N/A,0.0%,1,1.6%,7,10.9%,17,26.6%,11,17.2%,3,4.7%,14:1,75.00,16.00,59.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,2,0.0%,14.2,29.6%,36.6%,31.0%,2.8%,0.0%,100.0%,0.0%,3.1:1,100%,735,81,16,686,KEDC,903
20162017,052,HENRY,156,Eminence Independent,020,Eminence Elementary School,156020,052156020,210171000333,"$9,830",368.29,388,207,53.4%,181,46.6%,308,79.4%,15,3.9%,34,8.8%,2,0.5%,2,0.5%,0,0.0%,27,7.0%,210,54.1%,24,6.2%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,28.00,4.00,24.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00,28.00,2,0.0%,8.6,40.9%,36.4%,18.2%,4.5%,0.0%,100.0%,4.5%,.8:1,100%,356,34,10,"1,737",OVEC,906
20162017,052,HENRY,156,Eminence Independent,010,Eminence High School,156010,052156010,210171000332,"$10,854",388.73,402,223,55.5%,179,44.5%,316,78.6%,20,5.0%,45,11.2%,0,0.0%,0,0.0%,0,0.0%,21,5.2%,211,52.5%,10,2.5%,93.8%,3.0%,0.6%,N/A,15,37.5%,14,35.0%,1,2.5%,N/A,0.0%,9,22.5%,N/A,0.0%,15,37.5%,1,2.5%,14:1,32.00,7.00,25.00,31.00,1.00,0.00,0.00,0.00,0.00,0.00,32.00,7,0.0%,8.9,28.2%,38.5%,33.3%,0.0%,0.0%,100.0%,2.2%,.8:1,100%,321,42,2,"1,023",OVEC,906
20162017,052,HENRY,156,Eminence Independent,,---District Total---,156,,,"$9,644",847.04,877,481,54.8%,396,45.2%,643,73.3%,94,10.7%,86,9.8%,2,0.2%,2,0.2%,0,0.0%,50,5.7%,455,51.9%,34,3.9%,95.1%,1.9%,0.6%,N/A,15,37.5%,14,35.0%,1,2.5%,N/A,0.0%,9,22.5%,N/A,0.0%,15,37.5%,1,2.5%,16:1,54.00,11.00,43.00,52.00,2.00,0.00,0.00,0.00,0.00,0.00,54.00,8,0.0%,9.2,31.7%,38.1%,28.6%,1.6%,0.0%,100.0%,2.9%,.9:1,100%,677,76,12,"2,760",OVEC,906
20162017,059,KENTON,157,Erlanger-Elsmere Independent,005,Arnett Elementary School,157005,059157005,210174000335,"$14,168",263.99,278,165,59.4%,113,40.6%,201,72.3%,20,7.2%,22,7.9%,3,1.1%,0,0.0%,1,0.4%,31,11.2%,186,66.9%,22,7.9%,96.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:1,25.00,4.00,21.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,2,0.0%,8.3,40.0%,45.0%,15.0%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,275,60,2,110,NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,061,Bartlett Educational Center,157061,059157061,210174002313,"$4,034",45.68,63,43,68.3%,20,31.7%,40,63.5%,13,20.6%,1,1.6%,0,0.0%,1,1.6%,0,0.0%,8,12.7%,45,71.4%,4,6.3%,86.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,4.00,4.00,.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0,0.0%,14.8,0.0%,83.3%,16.7%,0.0%,0.0%,100.0%,0.0%,.8:1,100%,,,,,NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,010,Howell Elementary School,157010,059157010,210174000336,"$11,722",320.76,347,176,50.7%,171,49.3%,243,70.0%,27,7.8%,32,9.2%,1,0.3%,0,0.0%,5,1.4%,39,11.2%,280,80.7%,20,5.8%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,22.00,3.00,19.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,2,0.0%,6.7,55.6%,33.3%,5.6%,5.6%,0.0%,100.0%,0.0%,1.9:1,100%,340,50,2,"2,000",NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,003,Lindeman Elementary School,157003,059157003,210174000334,"$12,011",318.65,335,177,52.8%,158,47.2%,199,59.4%,33,9.9%,49,14.6%,6,1.8%,0,0.0%,10,3.0%,38,11.3%,238,71.0%,27,8.1%,96.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,22.00,.00,22.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,5,0.0%,13.7,5.6%,66.7%,27.8%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,268,38,2,"1,000",NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,030,Lloyd High School,157030,059157030,210174000337,"$11,981",546.31,572,309,54.0%,263,46.0%,391,68.4%,58,10.1%,66,11.5%,6,1.0%,1,0.2%,3,0.5%,47,8.2%,344,60.1%,34,5.9%,93.8%,2.3%,0.8%,N/A,72,57.6%,68,54.4%,4,3.2%,18,14.4%,27,21.6%,2,1.6%,2,1.6%,4,3.2%,15:1,39.00,10.00,29.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,3,0.0%,11.8,15.6%,53.3%,28.9%,2.2%,0.0%,100.0%,0.0%,1.2:1,100%,400,15,3,115,NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,050,Miles Elementary School,157050,059157050,210174000338,"$12,223",267.35,278,143,51.4%,135,48.6%,212,76.3%,11,4.0%,25,9.0%,0,0.0%,1,0.4%,0,0.0%,29,10.4%,154,55.4%,19,6.8%,96.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,20.00,2.00,18.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,1,0.0%,11.2,12.5%,75.0%,12.5%,0.0%,0.0%,100.0%,0.0%,1.1:1,100%,238,27,4,"1,931",NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,060,Tichenor Middle School,157060,059157060,210174000339,"$11,209",487.7,514,275,53.5%,239,46.5%,362,70.4%,50,9.7%,49,9.5%,1,0.2%,0,0.0%,2,0.4%,50,9.7%,340,66.1%,44,8.6%,95.9%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,33.00,10.00,23.00,32.00,1.00,0.00,0.00,0.00,0.00,0.00,33.00,2,0.0%,8.8,31.7%,48.8%,12.2%,4.9%,2.4%,100.0%,0.0%,1.1:1,100%,127,34,3,"1,187",NKCES,905
20162017,059,KENTON,157,Erlanger-Elsmere Independent,,---District Total---,157,,,"$11,971","2,250.44","2,387","1,288",54.0%,"1,099",46.0%,"1,648",69.0%,212,8.9%,244,10.2%,17,0.7%,3,0.1%,21,0.9%,242,10.1%,"1,587",66.5%,170,7.1%,95.4%,1.4%,0.7%,N/A,72,57.6%,68,54.4%,4,3.2%,18,14.4%,27,21.6%,2,1.6%,2,1.6%,4,3.2%,15:1,157.00,30.00,127.00,155.00,2.00,0.00,0.00,0.00,0.00,0.00,157.00,13,0.0%,10.7,25.0%,53.7%,18.3%,2.4%,0.6%,100.0%,0.0%,1.3:1,100%,"1,648",224,16,"6,343",NKCES,905
20162017,033,ESTILL,161,Estill County,090,Estill County High School,161090,033161090,210176000342,"$8,175",654.25,702,361,51.4%,341,48.6%,689,98.1%,1,0.1%,4,0.6%,2,0.3%,1,0.1%,0,0.0%,5,0.7%,418,59.5%,36,5.1%,93.2%,1.4%,0.4%,N/A,54,33.1%,52,31.9%,2,1.2%,12,7.4%,48,29.5%,13,8.0%,29,17.8%,7,4.3%,18:1,41.00,15.00,26.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,1,0.0%,13.7,23.8%,38.1%,38.1%,0.0%,0.0%,100.0%,2.0%,1.4:1,100%,700,42,5,150,SESC,907
20162017,033,ESTILL,161,Estill County,085,Estill County Middle School,161085,033161085,210176000341,"$7,880",495.01,520,262,50.4%,258,49.6%,513,98.7%,0,0.0%,4,0.8%,1,0.2%,0,0.0%,0,0.0%,2,0.4%,354,68.1%,19,3.7%,94.2%,0.0%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,33.00,11.00,22.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0,0.0%,10.3,35.3%,35.3%,29.4%,0.0%,0.0%,100.0%,2.9%,2.3:1,100%,485,9,4,"1,042",SESC,907
20162017,033,ESTILL,161,Estill County,014,Estill County Success Academy,161014,033161014,210176002406,,15.25,19,16,84.2%,3,15.8%,19,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,17,89.5%,0,0.0%,87.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19:1,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,20.7,33.3%,33.3%,33.3%,0.0%,0.0%,100.0%,0.0%,.4:1,100%,19,,,24,SESC,907
20162017,033,ESTILL,161,Estill County,011,Estill Springs Elementary,161011,033161011,210176001746,"$9,239",311.2,332,175,52.7%,157,47.3%,321,96.7%,0,0.0%,4,1.2%,0,0.0%,0,0.0%,0,0.0%,7,2.1%,242,72.9%,9,2.7%,94.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,25.00,1.00,24.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0,0.0%,13.5,38.9%,50.0%,11.1%,0.0%,0.0%,100.0%,0.0%,1.6:1,100%,,,,,SESC,907
20162017,033,ESTILL,161,Estill County,220,South Irvine P-K Center,161220,033161220,210176000345,"$8,938",136.47,144,82,56.9%,62,43.1%,139,96.5%,1,0.7%,1,0.7%,0,0.0%,0,0.0%,1,0.7%,2,1.4%,98,68.1%,7,4.9%,93.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:1,20.00,.00,20.00,19.00,0.00,0.00,1.00,0.00,0.00,0.00,20.00,0,0.0%,11.4,50.0%,42.9%,7.1%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,144,52,12,985,SESC,907
20162017,033,ESTILL,161,Estill County,280,West Irvine Intermediate,161280,033161280,210176000346,"$7,638",515.71,536,273,50.9%,263,49.1%,529,98.7%,0,0.0%,3,0.6%,1,0.2%,0,0.0%,0,0.0%,3,0.6%,389,72.6%,10,1.9%,95.2%,0.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,35.00,3.00,32.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0,0.0%,10.4,46.4%,28.6%,25.0%,0.0%,0.0%,100.0%,0.0%,2:1,100%,482,187,2,"1,062",SESC,907
20162017,033,ESTILL,161,Estill County,,---District Total---,161,,,"$10,529","2,127.87","2,253","1,169",51.9%,"1,084",48.1%,"2,210",98.1%,2,0.1%,16,0.7%,4,0.2%,1,0.0%,1,0.0%,19,0.8%,"1,518",67.4%,81,3.6%,94.1%,0.8%,0.4%,N/A,54,33.1%,52,31.9%,2,1.2%,12,7.4%,48,29.5%,13,8.0%,29,17.8%,7,4.3%,15:1,147.00,28.00,119.00,146.00,0.00,0.00,1.00,0.00,0.00,0.00,147.00,,0.0%,12.1,36.0%,37.4%,26.6%,0.0%,0.0%,100.0%,1.4%,1.7:1,100%,"1,830",290,23,"3,263",SESC,907
20162017,010,BOYD,162,Fairview Independent,011,Fairview Elementary School,162011,010162011,210180001889,"$10,960",308.8,318,165,51.9%,153,48.1%,302,95.0%,5,1.6%,1,0.3%,0,0.0%,1,0.3%,0,0.0%,9,2.8%,224,70.4%,17,5.3%,93.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,25.00,2.00,23.00,24.00,0.00,0.00,1.00,0.00,0.00,0.00,25.00,1,0.0%,11.2,38.5%,46.2%,11.5%,3.8%,0.0%,100.0%,0.0%,1.3:1,100%,,,,,KEDC,903
20162017,010,BOYD,162,Fairview Independent,020,Fairview High School,162020,010162020,210180000348,"$11,576",372.56,404,201,49.8%,203,50.2%,386,95.5%,6,1.5%,4,1.0%,2,0.5%,0,0.0%,0,0.0%,6,1.5%,230,56.9%,18,4.5%,91.9%,3.0%,0.0%,N/A,23,28.1%,21,25.6%,2,2.4%,N/A,0.0%,9,11.0%,37,45.1%,11,13.4%,2,2.4%,15:1,28.00,11.00,17.00,26.00,1.00,1.00,0.00,0.00,0.00,0.00,28.00,0,0.0%,10.5,28.6%,40.0%,28.6%,2.9%,0.0%,100.0%,0.0%,.7:1,100%,,,,,KEDC,903
20162017,010,BOYD,162,Fairview Independent,,---District Total---,162,,,"$11,268",681.35,722,366,50.7%,356,49.3%,688,95.3%,11,1.5%,5,0.7%,2,0.3%,1,0.1%,0,0.0%,15,2.1%,454,62.9%,35,4.8%,92.7%,2.4%,0.0%,N/A,23,28.1%,21,25.6%,2,2.4%,N/A,0.0%,9,11.0%,37,45.1%,11,13.4%,2,2.4%,14:1,50.00,12.00,38.00,47.00,1.00,1.00,1.00,0.00,0.00,0.00,50.00,1,0.0%,10.3,32.8%,42.6%,21.3%,3.3%,0.0%,100.0%,0.0%,.8:1,100%,,,,,KEDC,903
20162017,034,FAYETTE,165,Fayette County,051,ABLE,165051,034165051,210186002236,"$4,316",10.4,13,11,84.6%,2,15.4%,4,30.8%,7,53.8%,1,7.7%,0,0.0%,0,0.0%,0,0.0%,1,7.7%,12,92.3%,0,0.0%,91.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,CKEC,901
20162017,034,FAYETTE,165,Fayette County,005,Arlington Elementary School,165005,034165005,210186000350,"$16,525",347.73,357,182,51.0%,175,49.0%,96,26.9%,96,26.9%,147,41.2%,0,0.0%,1,0.3%,0,0.0%,17,4.8%,323,90.5%,10,2.8%,96.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:1,40.00,3.00,37.00,37.00,1.00,1.00,1.00,0.00,0.00,0.00,40.00,3,0.0%,8.3,35.7%,57.1%,3.6%,3.6%,0.0%,100.0%,0.0%,.7:1,100%,343,20,2,"5,010",CKEC,901
20162017,034,FAYETTE,165,Fayette County,007,Ashland Elementary School,165007,034165007,210186000351,"$13,894",340.73,353,181,51.3%,172,48.7%,232,65.7%,75,21.2%,20,5.7%,5,1.4%,0,0.0%,0,0.0%,21,5.9%,136,38.5%,4,1.1%,96.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,30.00,3.00,27.00,25.00,5.00,0.00,0.00,0.00,0.00,0.00,30.00,0,0.0%,12.5,21.7%,65.2%,8.7%,4.3%,0.0%,100.0%,0.0%,.8:1,100%,347,82,12,993,CKEC,901
20162017,034,FAYETTE,165,Fayette County,045,Athens-Chilesburg Elementary,165045,034165045,210186001987,"$10,951",777.83,799,400,50.1%,399,49.9%,593,74.2%,74,9.3%,34,4.3%,69,8.6%,1,0.1%,1,0.1%,27,3.4%,147,18.4%,29,3.6%,96.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,52.00,3.00,49.00,49.00,2.00,0.00,1.00,0.00,0.00,0.00,52.00,9,0.0%,12.4,14.3%,57.1%,28.6%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,795,38,12,"14,390",CKEC,901
20162017,034,FAYETTE,165,Fayette County,015,Beaumont Middle School,165015,034165015,210186000353,"$11,101","1,090.29","1,141",587,51.4%,554,48.6%,717,62.8%,112,9.8%,184,16.1%,87,7.6%,2,0.2%,1,0.1%,38,3.3%,420,36.8%,22,1.9%,95.3%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,73.00,21.00,52.00,69.00,3.00,0.00,1.00,0.00,0.00,0.00,73.00,10,0.0%,13.6,18.1%,43.1%,36.1%,2.8%,0.0%,100.0%,1.4%,1.5:1,100%,402,36,15,317,CKEC,901
20162017,034,FAYETTE,165,Fayette County,055,Booker T Washington Elementary School,165055,034165055,,"$16,214",284.88,300,155,51.7%,145,48.3%,21,7.0%,142,47.3%,128,42.7%,1,0.3%,0,0.0%,0,0.0%,8,2.7%,267,89.0%,10,3.3%,95.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,33.00,4.00,29.00,17.00,11.00,3.00,2.00,0.00,0.00,0.00,33.00,0,0.0%,6.3,50.0%,45.0%,0.0%,5.0%,0.0%,100.0%,0.0%,1:1,100%,289,124,2,332,CKEC,901
20162017,034,FAYETTE,165,Fayette County,170,Bryan Station High School,165170,034165170,210186000388,"$12,025","1,634.8","1,831",906,49.5%,925,50.5%,705,38.5%,654,35.7%,379,20.7%,17,0.9%,3,0.2%,0,0.0%,73,4.0%,"1,100",60.1%,55,3.0%,89.9%,12.0%,3.2%,N/A,226,52.4%,188,43.6%,38,8.8%,35,8.1%,123,28.5%,6,1.4%,33,7.7%,8,1.9%,16:1,120.00,39.00,81.00,97.00,10.00,8.00,3.00,0.00,0.00,2.00,120.00,4,0.0%,9.6,16.7%,55.6%,23.8%,2.4%,1.6%,100.0%,0.8%,1.4:1,100%,477,133,8,326,CKEC,901
20162017,034,FAYETTE,165,Fayette County,030,Bryan Station Middle School,165030,034165030,210186000358,"$13,230",638.15,666,321,48.2%,345,51.8%,319,47.9%,194,29.1%,111,16.7%,8,1.2%,0,0.0%,0,0.0%,34,5.1%,352,52.9%,14,2.1%,94.7%,0.8%,1.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,49.00,20.00,29.00,32.00,9.00,7.00,0.00,0.00,0.00,1.00,49.00,2,0.0%,13.1,20.4%,55.6%,20.4%,1.9%,1.9%,100.0%,5.6%,.9:1,100%,405,40,4,"1,214",CKEC,901
20162017,034,FAYETTE,165,Fayette County,240,Cardinal Valley Elementary School,165240,034165240,210186000392,"$13,900",573.5,597,301,50.4%,296,49.6%,66,11.1%,62,10.4%,458,76.7%,0,0.0%,3,0.5%,0,0.0%,8,1.3%,547,91.6%,12,2.0%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,58.00,3.00,55.00,50.00,2.00,6.00,0.00,0.00,0.00,0.00,58.00,2,0.0%,7.6,40.0%,53.3%,6.7%,0.0%,0.0%,100.0%,0.0%,1.2:1,100%,580,33,1,"2,542",CKEC,901
20162017,034,FAYETTE,165,Fayette County,275,Carter G. Woodson Academy,165275,034165275,210186002323,"$12,819",190.51,192,192,100.0%,0,0.0%,1,0.5%,163,84.9%,16,8.3%,0,0.0%,0,0.0%,0,0.0%,12,6.3%,107,55.7%,12,6.3%,96.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,22.00,10.00,12.00,9.00,10.00,0.00,2.00,0.00,0.00,1.00,22.00,0,0.0%,11.5,27.1%,43.8%,27.1%,0.0%,2.1%,100.0%,2.1%,1:1,100%,206,,,100,CKEC,901
20162017,034,FAYETTE,165,Fayette County,032,Cassidy Elementary School,165032,034165032,210186000359,"$11,469",709.52,735,381,51.8%,354,48.2%,535,72.8%,54,7.3%,51,6.9%,56,7.6%,2,0.3%,2,0.3%,35,4.8%,240,32.7%,14,1.9%,96.4%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,51.00,4.00,47.00,50.00,1.00,0.00,0.00,0.00,0.00,0.00,51.00,1,0.0%,10.4,22.0%,65.9%,7.3%,0.0%,4.9%,100.0%,0.0%,.8:1,100%,725,78,30,"3,400",CKEC,901
20162017,034,FAYETTE,165,Fayette County,120,Clays Mill Elementary School,165120,034165120,210186000384,"$13,809",540.42,559,298,53.3%,261,46.7%,466,83.4%,14,2.5%,36,6.4%,16,2.9%,4,0.7%,0,0.0%,23,4.1%,182,32.6%,13,2.3%,96.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,49.00,6.00,43.00,47.00,0.00,1.00,1.00,0.00,0.00,0.00,49.00,7,0.0%,15.1,7.9%,57.9%,28.9%,5.3%,0.0%,100.0%,0.0%,1.2:1,100%,510,30,10,"3,000",CKEC,901
20162017,034,FAYETTE,165,Fayette County,098,Coventry Oak Elementary,165098,034165098,,"$12,890",515.04,543,273,50.3%,270,49.7%,137,25.2%,180,33.1%,197,36.3%,3,0.6%,1,0.2%,0,0.0%,25,4.6%,365,67.2%,18,3.3%,96.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,37.00,7.00,30.00,27.00,8.00,1.00,1.00,0.00,0.00,0.00,37.00,,0.0%,6,34.5%,51.7%,6.9%,6.9%,0.0%,100.0%,0.0%,.7:1,100%,489,21,2,"2,350",CKEC,901
20162017,034,FAYETTE,165,Fayette County,025,Crawford Middle School,165025,034165025,210186000357,"$15,385",446.41,482,239,49.6%,243,50.4%,163,33.8%,160,33.2%,120,24.9%,14,2.9%,3,0.6%,1,0.2%,21,4.4%,369,76.6%,15,3.1%,94.1%,0.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:1,47.00,9.00,38.00,42.00,4.00,0.00,1.00,0.00,0.00,0.00,47.00,2,0.0%,12.1,31.7%,46.3%,17.1%,2.4%,2.4%,100.0%,2.4%,1.3:1,100%,221,42,3,258,CKEC,901
